Incident,change,date,year,month,day,time,hour,addr,lon,lat,zip,nature,all,all2
2013175247,y,9/12/13,2013,09,Thursday,22:44:10,22,5002 CARRIERIDGE DR-CO,-92.342496,38.895451,65203,SI-SUSP INCIDENT,Incident: SI-SUSP INCIDENT<br\>Date: Sep-12-2013<br\>Time: 22:44<br\>Address: 5002 CARRIERIDGE DR-CO,Incident: SI-SUSP INCIDENT Date: Sep-12-2013 Time: 22:44 Address: 5002 CARRIERIDGE DR-CO
2011129358,n,7/13/11,2011,07,Wednesday,1:20:35,01,5000 CARRIERIDGE DR-CO,-92.342488,38.895548,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jul-13-2011<br\>Time: 01:20<br\>Address: 5000 CARRIERIDGE DR-CO,Incident: SF-SHOTS FIRED Date: Jul-13-2011 Time: 01:20 Address: 5000 CARRIERIDGE DR-CO
2013172209,n,9/8/13,2013,09,Sunday,15:40:28,15,5000 CARRIERIDGE DR-CO,-92.342488,38.895548,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Sep-08-2013<br\>Time: 15:40<br\>Address: 5000 CARRIERIDGE DR-CO,Incident: SF-SHOTS FIRED Date: Sep-08-2013 Time: 15:40 Address: 5000 CARRIERIDGE DR-CO
2012184930,n,9/25/12,2012,09,Tuesday,23:33:09,23,48 NORTH CEDAR LAKE DR E-CO,-92.340884,38.895645,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Sep-25-2012<br\>Time: 23:33<br\>Address: 48 NORTH CEDAR LAKE DR E-CO,Incident: SF-SHOTS FIRED Date: Sep-25-2012 Time: 23:33 Address: 48 NORTH CEDAR LAKE DR E-CO
2013129948,n,7/10/13,2013,07,Wednesday,23:34:50,23,48 NORTH CEDAR LAKE DR E-CO,-92.340884,38.895645,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jul-10-2013<br\>Time: 23:34<br\>Address: 48 NORTH CEDAR LAKE DR E-CO,Incident: SF-SHOTS FIRED Date: Jul-10-2013 Time: 23:34 Address: 48 NORTH CEDAR LAKE DR E-CO
2013107286,n,6/9/13,2013,06,Sunday,21:43:52,21,46 NORTH CEDAR LAKE DR E-CO,-92.341231,38.895759,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jun-09-2013<br\>Time: 21:43<br\>Address: 46 NORTH CEDAR LAKE DR E-CO,Incident: SF-SHOTS FIRED Date: Jun-09-2013 Time: 21:43 Address: 46 NORTH CEDAR LAKE DR E-CO
2011122668,n,7/3/11,2011,07,Sunday,13:17:11,13,40 NORTH CEDAR LAKE DR E-CO,-92.341833,38.89576,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jul-03-2011<br\>Time: 13:17<br\>Address: 40 NORTH CEDAR LAKE DR E-CO,Incident: SF-SHOTS FIRED Date: Jul-03-2011 Time: 13:17 Address: 40 NORTH CEDAR LAKE DR E-CO
2012164133,y,8/25/12,2012,08,Saturday,18:55:21,18,34 NORTH CEDAR LAKE DR E-CO,-92.342045,38.895766,65203,SI-SUSP INCIDENT,Incident: SI-SUSP INCIDENT<br\>Date: Aug-25-2012<br\>Time: 18:55<br\>Address: 34 NORTH CEDAR LAKE DR E-CO,Incident: SI-SUSP INCIDENT Date: Aug-25-2012 Time: 18:55 Address: 34 NORTH CEDAR LAKE DR E-CO
2009184321,n,9/19/09,2009,09,Saturday,21:51:05,21,4903 COCHERO CT-CO,-92.407058,38.895889,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Sep-19-2009<br\>Time: 21:51<br\>Address: 4903 COCHERO CT-CO,Incident: SF-SHOTS FIRED Date: Sep-19-2009 Time: 21:51 Address: 4903 COCHERO CT-CO
2011094361,y,5/23/11,2011,05,Monday,22:44:01,22,5016 GLENCAIRN DR-CO,-92.361561,38.896071,65203,FW-FIREWORKS,Incident: FW-FIREWORKS<br\>Date: May-23-2011<br\>Time: 22:44<br\>Address: 5016 GLENCAIRN DR-CO,Incident: FW-FIREWORKS Date: May-23-2011 Time: 22:44 Address: 5016 GLENCAIRN DR-CO
